position,id,title,url,phases,intents,summary,purpose,watch_when,next_task
53,MoS4ZhcVuP4,✅ Selección de productos (elige lo correcto para vender) | Clase con los expertos | BeGlobal Pro,https://www.youtube.com/watch?v=MoS4ZhcVuP4,F2_producto_nicho;F6_ventas_cierre,elegir_o_mejorar_producto;ventas_cierre,Clase de apoyo sobre Selección de productos (elige lo correcto para vender) aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: selección de productos (elige lo correcto para vender).,Aplicar la estructura al producto actual y enviar link/captura para revisión.
54,j-snsEqAY54,"✅ Comienza con dirección, no con dudas (Primeros pasos) | Clase con los expertos | Be Global Pro",https://www.youtube.com/watch?v=j-snsEqAY54,F1_entender_modelo,aprender_desde_cero,"Clase de apoyo sobre Comienza con dirección, no con dudas (Primeros pasos) aplicada a ecommerce/dropshipping.",Ubicar al alumno principiante y darle una ruta clara para iniciar ventas online sin brincar pasos.,"Recomendar cuando el alumno pida ayuda con: comienza con dirección, no con dudas (primeros pasos).","Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
55,ODj3ItInGE4,✅ Construye la narrativa de tu marca | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=ODj3ItInGE4,F5_contenido_lanzamiento,crear_contenido,Clase de apoyo sobre Construye la narrativa de tu marca aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: construye la narrativa de tu marca.,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
56,SzCK2TAf6lw,✅ Todo lo que debes corregir antes de invertir en Ads | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=SzCK2TAf6lw,F7_ads_tracking,ads_tracking,Clase de apoyo sobre Todo lo que debes corregir antes de invertir en Ads aplicada a ecommerce/dropshipping.,Guiar configuración de medición/publicidad para preparar campañas y seguimiento.,Recomendar cuando el alumno pida ayuda con: todo lo que debes corregir antes de invertir en ads.,Verificar configuración en la plataforma actual y mandar captura del estado.
57,KPcCS2_SfpE,✅ Creación de contenido: qué sí y qué no | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=KPcCS2_SfpE,F6_ventas_cierre,guia_general,Clase de apoyo sobre Creación de contenido: qué sí y qué no aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: creación de contenido: qué sí y qué no.,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
58,f2UaqAUWZkw,✅ Crea imágenes como un experto (usando IA) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=f2UaqAUWZkw,F5_contenido_lanzamiento,crear_contenido,Clase de apoyo sobre Crea imágenes como un experto (usando IA) aplicada a ecommerce/dropshipping.,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: crea imágenes como un experto (usando ia).,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
59,NTKEeZfMC-8,✅ Configura tus redes Sociales para vender | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=NTKEeZfMC-8,F5_contenido_lanzamiento;F6_ventas_cierre,crear_contenido;ventas_cierre,Clase de apoyo sobre Configura tus redes Sociales para vender aplicada a ecommerce/dropshipping.,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: configura tus redes sociales para vender.,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
60,675kq3Z1P7Q,✅ Aumenta tu ticket de venta en Shopify (Upsell y Cross-Sell)| Clase con los expertos| Be Global Pro,https://www.youtube.com/watch?v=675kq3Z1P7Q,F2_producto_nicho;F4_tienda_canal;F6_ventas_cierre,elegir_o_mejorar_producto;configurar_tienda_canal;ventas_cierre,Clase de apoyo sobre Aumenta tu ticket de venta en Shopify (Upsell y Cross-Sell) aplicada a ecommerce/dropshipping.,"Ayudar a aumentar el valor promedio por pedido usando oferta, bundles, upsells o mejor presentación de valor.",Recomendar cuando el alumno pida ayuda con: aumenta tu ticket de venta en shopify (upsell y cross-sell).,Hacer el ajuste en la tienda y mandar captura/link para validar.
61,EdemLs7dhUM,✅ Contabilidad en tu ecommerce | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=EdemLs7dhUM,F1_entender_modelo,aprender_desde_cero,Clase de apoyo sobre Contabilidad en tu ecommerce aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: contabilidad en tu ecommerce.,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
62,3z2yRQxvEKs,✅ Productos que conviene vender en Mercado Libre  | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=3z2yRQxvEKs,F2_producto_nicho;F4_tienda_canal;F6_ventas_cierre,elegir_o_mejorar_producto;configurar_tienda_canal;ventas_cierre,Clase de apoyo sobre Productos que conviene vender en Mercado Libre aplicada a ecommerce/dropshipping.,"Orientar publicación y optimización dentro de Mercado Libre, verificando políticas actuales de la plataforma.",Recomendar cuando el alumno pida ayuda con: productos que conviene vender en mercado libre.,Aplicar la estructura al producto actual y enviar link/captura para revisión.
63,-QJuMNJQ0hs,✅ Lanza tu primera campaña publicitaria(para principiantes) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=-QJuMNJQ0hs,F5_contenido_lanzamiento;F7_ads_tracking,crear_contenido;ads_tracking,Clase de apoyo sobre Lanza tu primera campaña publicitaria(para principiantes) aplicada a ecommerce/dropshipping.,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: lanza tu primera campaña publicitaria(para principiantes).,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
64,V0ZygTcHqaI,✅ Cómo hacer videos sin mostrar tu cara | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=V0ZygTcHqaI,F5_contenido_lanzamiento,crear_contenido,Clase paso a paso sobre hacer videos sin mostrar tu cara.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: cómo hacer videos sin mostrar tu cara.,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
65,ETkc9_uDi8k,✅ Análisis de producto (cómo saber qué vender) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=ETkc9_uDi8k,F2_producto_nicho;F6_ventas_cierre,elegir_o_mejorar_producto;ventas_cierre,Clase de apoyo sobre Análisis de producto (cómo saber qué vender) aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: análisis de producto (cómo saber qué vender).,Aplicar la estructura al producto actual y enviar link/captura para revisión.
66,7dXCgKd05Zk,"✅ Cómo vender por mensaje (Insta, WhatsApp y Facebook) | Clase con los expertos | Be Global Pro",https://www.youtube.com/watch?v=7dXCgKd05Zk,F6_ventas_cierre,ventas_cierre,"Clase paso a paso sobre vender por mensaje (Insta, WhatsApp y Facebook).",Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,"Recomendar cuando el alumno pida ayuda con: cómo vender por mensaje (insta, whatsapp y facebook).","Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
67,dUOFd5W0Y_k,✅ Canales de tráfico para ecommerce (cómo atraer clientes) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=dUOFd5W0Y_k,F1_entender_modelo;F6_ventas_cierre,aprender_desde_cero;ventas_cierre,Clase de apoyo sobre Canales de tráfico para ecommerce (cómo atraer clientes) aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: canales de tráfico para ecommerce (cómo atraer clientes).,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
68,C3ZnWB34OK0,✅ Aprende a crear imágenes con IA para tu negocio digital | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=C3ZnWB34OK0,F1_entender_modelo;F5_contenido_lanzamiento,aprender_desde_cero;crear_contenido,Clase de apoyo sobre Aprende a crear imágenes con IA para tu negocio digital aplicada a ecommerce/dropshipping.,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: aprende a crear imágenes con ia para tu negocio digital.,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
69,ZoxPI-ioUPo,✅ Videos ganadores para vender (cómo crear contenido) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=ZoxPI-ioUPo,F5_contenido_lanzamiento;F6_ventas_cierre,crear_contenido;ventas_cierre,Clase de apoyo sobre Videos ganadores para vender (cómo crear contenido) aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: videos ganadores para vender (cómo crear contenido).,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
70,uBc-B3T3N14,✅ Cómo usar Canva para tu ecommerce y redes sociales | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=uBc-B3T3N14,F1_entender_modelo;F5_contenido_lanzamiento,aprender_desde_cero;crear_contenido,Clase paso a paso sobre usar Canva para tu ecommerce y redes sociales.,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: cómo usar canva para tu ecommerce y redes sociales.,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
71,YpFMT0Dtoa4,✅Canales de venta en ecommerce  | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=YpFMT0Dtoa4,F1_entender_modelo,aprender_desde_cero,Clase de apoyo sobre Canales de venta en ecommerce aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: canales de venta en ecommerce.,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
72,TLL47W4-2MI,✅ Cómo funciona el dropshipping en Be Global Pro | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=TLL47W4-2MI,F1_entender_modelo,aprender_desde_cero,Clase paso a paso sobre funciona el dropshipping en Be Global Pro.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: cómo funciona el dropshipping en be global pro.,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
73,QcD6_id2S7M,✅ Cómo crear tu tienda en línea fácil y Rápido | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=QcD6_id2S7M,F4_tienda_canal,configurar_tienda_canal,Clase paso a paso sobre crear tu tienda en línea fácil y Rápido.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: cómo crear tu tienda en línea fácil y rápido.,Hacer el ajuste en la tienda y mandar captura/link para validar.
74,7ofQec3FkmY,✅ Cómo hacer guiones con ChatGPT (fácil y rápido) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=7ofQec3FkmY,F6_ventas_cierre,guia_general,Clase paso a paso sobre hacer guiones con ChatGPT (fácil y rápido).,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: cómo hacer guiones con chatgpt (fácil y rápido).,"Ver la clase, aplicar el primer cambio y regresar con captura/link para continuar."
75,JYAxhSv6Kos,✅ Selección de productos ganadores para tu tienda online | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=JYAxhSv6Kos,F2_producto_nicho;F4_tienda_canal,elegir_o_mejorar_producto;configurar_tienda_canal,Clase de apoyo sobre Selección de productos ganadores para tu tienda online aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: selección de productos ganadores para tu tienda online.,Aplicar la estructura al producto actual y enviar link/captura para revisión.
76,ZP-OT43hGI4,✅ Cómo abrir tus redes sociales del negocio (paso a paso) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=ZP-OT43hGI4,F5_contenido_lanzamiento,crear_contenido,Clase paso a paso sobre abrir tus redes sociales del negocio (paso a paso).,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: cómo abrir tus redes sociales del negocio (paso a paso).,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
77,tbKGYMRN9fY,✅ Estrategias clave para aumentar tus ventas en ecommerce | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=tbKGYMRN9fY,F1_entender_modelo;F5_contenido_lanzamiento;F6_ventas_cierre;F8_optimizacion_escala,aprender_desde_cero;crear_contenido;ventas_cierre;optimizar_escalar,Clase de apoyo sobre Estrategias clave para aumentar tus ventas en ecommerce aplicada a ecommerce/dropshipping.,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: estrategias clave para aumentar tus ventas en ecommerce.,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
78,JKljyqEG3e4,✅ Cómo editar videos de productos con CapCut (fácil) | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=JKljyqEG3e4,F2_producto_nicho;F5_contenido_lanzamiento,elegir_o_mejorar_producto;crear_contenido,Clase paso a paso sobre editar videos de productos con CapCut (fácil).,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: cómo editar videos de productos con capcut (fácil).,Aplicar la estructura al producto actual y enviar link/captura para revisión.
